Title,IMDb Rating
a piece of the action,7.8
a private little war,6.9
a taste of armageddon,8.1
all our yesterdays,8.2
amok time,8.7
and the children shall lead,5.2
arena,8
assignment: earth,7.6
balance of terror,8.9
bread and circuses,7.2
by any other name,7.6
catspaw,6.2
charlie x,7.1
court martial,7.5
dagger of the mind,7.4
day of the dove,7.9
elaan of troyius,7.1
errand of mercy,8.2
for the world is hollow and i have touched the sky,7.2
friday's child,6.8
"i, mudd",7.4
is there in truth no beauty?,7
journey to babel,8.6
let that be your last battlefield,7.3
metamorphosis,7.3
miri,7
"mirror, mirror",9.1
mudd's women,6.7
obsession,7.3
operation - annihilate!,7.6
patterns of force,7.6
plato's stepchildren,6.6
requiem for methuselah,7.4
return to tomorrow,7.5
shore leave,7.5
space seed,8.8
spectre of the gun,7.3
spock's brain,5.7
that which survives,6.6
the alternative factor,5.8
the apple,6.4
the cage,7.7
the changeling,7.7
the city on the edge of forever,9.2
the cloud minders,7.1
the conscience of the king,7.2
the corbomite maneuver,8.1
the deadly years,7.4
the devil in the dark,8.4
the doomsday machine,8.8
the empath,6.6
the enemy within,7.7
the enterprise incident,8.5
the galileo seven,7.7
the gamesters of triskelion,7
the immunity syndrome,7.6
the lights of zetar,6.2
the man trap,7.2
the mark of gideon,6.5
the menagerie: part i,8.3
the menagerie: part ii,8.2
the naked time,7.9
the omega glory,6.2
the paradise syndrome,6.8
the return of the archons,7.2
the savage curtain,6.7
the squire of gothos,7.3
the tholian web,8.1
the trouble with tribbles,8.8
the ultimate computer,8.1
the way to eden,5.4
this side of paradise,7.9
tomorrow is yesterday,8
turnabout intruder,6.9
what are little girls made of?,7.5
where no man has gone before,7.7
who mourns for adonais?,7.2
whom gods destroy,7
wink of an eye,7.4
wolf in the fold,7.3
